id,name,weight,have_perp,priceIncrement,sizeIncrement,minProvideSize
52,1INCH,0.9,true,0.0001,1.0,1.0
100,AAPL,0.0,false,,,
40,AAVE,0.9,true,0.01,0.01,0.01
101,ABNB,0.0,false,,,
102,ACB,0.0,false,,,
103,ADA,0.0,true,0.000005,1.0,1.0
219,ADABEAR,0.0,false,,,
220,ADABULL,0.0,false,,,
221,ADAHALF,0.0,false,,,
222,ADAHEDGE,0.0,false,,,
104,AKRO,0.0,false,,,
89,ALCX,0.0,true,0.1,0.001,0.001
105,ALGO,0.0,true,0.0001,1.0,1.0
223,ALGOBEAR,0.0,false,,,
224,ALGOBULL,0.0,false,,,
225,ALGOHALF,0.0,false,,,
226,ALGOHEDGE,0.0,false,,,
18,ALPHA,0.9,true,0.00005,1.0,1.0
106,ALT,0.0,true,0.05,0.001,0.001
227,ALTBEAR,0.0,false,,,
228,ALTBULL,0.0,false,,,
229,ALTHALF,0.0,false,,,
230,ALTHEDGE,0.0,false,,,
107,AMC,0.0,false,,,
108,AMD,0.0,false,,,
1,AMPL,0.0,true,0.0001,10.0,10.0
109,AMZN,0.0,false,,,
110,APHA,0.0,false,,,
111,AR,0.0,true,0.001,0.1,0.1
112,ARKK,0.0,false,,,
84,ASD,0.0,true,0.00001,0.1,0.1
231,ASDBEAR,0.0,false,,,
232,ASDBULL,0.0,false,,,
233,ASDHALF,0.0,false,,,
234,ASDHEDGE,0.0,false,,,
113,ATOM,0.0,true,0.0005,0.01,0.01
235,ATOMBEAR,0.0,false,,,
236,ATOMBULL,0.0,false,,,
237,ATOMHALF,0.0,false,,,
238,ATOMHEDGE,0.0,false,,,
75,AUDIO,0.0,true,0.0005,0.1,0.1
114,AVAX,0.0,true,0.001,0.1,0.1
90,AXS,0.0,true,0.001,0.1,0.1
115,BABA,0.0,false,,,
69,BADGER,0.85,true,0.005,0.01,0.01
49,BAL,0.0,true,0.0025,0.01,0.01
239,BALBEAR,0.0,false,,,
240,BALBULL,0.0,false,,,
241,BALHALF,0.0,false,,,
242,BALHEDGE,0.0,false,,,
61,BAND,0.85,true,0.001,0.1,0.1
82,BAO,0.85,true,0.00000025,1000.0,1000.0
56,BAT,0.0,true,0.000025,1.0,1.0
116,BB,0.0,false,,,
14,BCH,0.95,true,0.05,0.001,0.001
243,BCHBEAR,0.0,false,,,
244,BCHBULL,0.0,false,,,
245,BCHHALF,0.0,false,,,
246,BCHHEDGE,0.0,false,,,
247,BEAR,0.0,false,,,
248,BEARSHIT,0.0,false,,,
117,BILI,0.0,false,,,
118,BITW,0.0,false,,,
68,BNB,0.95,true,0.0025,0.1,0.1
249,BNBBEAR,0.0,false,,,
250,BNBBULL,0.0,false,,,
251,BNBHALF,0.0,false,,,
252,BNBHEDGE,0.0,false,,,
50,BNT,0.9,true,0.0005,0.1,0.1
119,BNTX,0.0,false,,,
9,BRZ,0.99,true,0.00001,1.0,1.0
120,BSV,0.0,true,0.01,0.01,0.01
253,BSVBEAR,0.0,false,,,
254,BSVBULL,0.0,false,,,
255,BSVHALF,0.0,false,,,
256,BSVHEDGE,0.0,false,,,
36,BTC,0.98,true,1.0,0.0001,0.001
121,BTT,0.0,true,0.00000005,1000.0,1000.0
257,BULL,0.0,false,,,
258,BULLSHIT,0.0,false,,,
259,BVOL,0.0,false,,,
122,BYND,0.0,false,,,
392,C98,0.0,true,0.0001,1.0,1.0
123,CAD,0.0,false,,,
124,CAKE,0.0,true,0.0025,0.1,0.1
48,CEL,0.0,true,0.0005,0.1,0.1
125,CGC,0.0,false,,,
397,CHR,0.0,true,0.00005,1.0,1.0
15,CHZ,0.0,true,0.000001,10.0,10.0
91,CLV,0.0,true,0.0005,0.1,0.1
126,COIN,0.0,false,,,
17,COMP,0.9,true,0.01,0.0001,0.0001
260,COMPBEAR,0.0,false,,,
261,COMPBULL,0.0,false,,,
262,COMPHALF,0.0,false,,,
263,COMPHEDGE,0.0,false,,,
34,CONV,0.0,true,0.00001,10.0,10.0
127,COPE,0.0,false,,,
128,CQT,0.0,false,,,
8,CREAM,0.0,true,0.05,0.01,0.01
55,CRO,0.0,true,0.000025,10.0,10.0
129,CRON,0.0,false,,,
64,CRV,0.0,true,0.00005,1.0,1.0
24,CUSDT,0.9,true,0.0000025,1.0,1.0
264,CUSDTBEAR,0.0,false,,,
265,CUSDTBULL,0.0,false,,,
266,CUSDTHALF,0.0,false,,,
267,CUSDTHEDGE,0.0,false,,,
130,DAI,0.0,false,,,
131,DASH,0.0,true,0.025,0.01,0.01
93,DAWN,0.0,true,0.0005,0.1,0.1
132,DEFI,0.0,true,0.1,0.001,0.001
268,DEFIBEAR,0.0,false,,,
269,DEFIBULL,0.0,false,,,
270,DEFIHALF,0.0,false,,,
271,DEFIHEDGE,0.0,false,,,
7,DENT,0.0,true,0.000001,100.0,100.0
133,DKNG,0.0,false,,,
96,DMG,0.0,true,0.001,0.1,0.1
26,DODO,0.0,true,0.0005,0.1,0.1
44,DOGE,0.95,true,0.0000005,1.0,1.0
272,DOGEBEAR2021,0.0,false,,,
273,DOGEBULL,0.0,false,,,
274,DOGEHALF,0.0,false,,,
275,DOGEHEDGE,0.0,false,,,
134,DOT,0.0,true,0.001,0.1,0.1
135,DRGN,0.0,true,0.1,0.001,0.001
276,DRGNBEAR,0.0,false,,,
277,DRGNBULL,0.0,false,,,
278,DRGNHALF,0.0,false,,,
279,DRGNHEDGE,0.0,false,,,
136,EGLD,0.0,true,0.005,0.01,0.01
137,EMB,0.0,false,,,
54,ENJ,0.0,true,0.00005,1.0,1.0
138,EOS,0.0,true,0.00025,0.1,0.1
280,EOSBEAR,0.0,false,,,
281,EOSBULL,0.0,false,,,
282,EOSHALF,0.0,false,,,
283,EOSHEDGE,0.0,false,,,
139,ETC,0.0,true,0.0005,0.1,0.1
284,ETCBEAR,0.0,false,,,
285,ETCBULL,0.0,false,,,
286,ETCHALF,0.0,false,,,
287,ETCHEDGE,0.0,false,,,
20,ETH,0.95,true,0.1,0.001,0.001
288,ETHBEAR,0.0,false,,,
289,ETHBULL,0.0,false,,,
140,ETHE,0.0,false,,,
290,ETHHALF,0.0,false,,,
291,ETHHEDGE,0.0,false,,,
141,EUR,0.0,false,,,
142,EXCH,0.0,true,0.1,0.001,0.001
292,EXCHBEAR,0.0,false,,,
293,EXCHBULL,0.0,false,,,
294,EXCHHALF,0.0,false,,,
295,EXCHHEDGE,0.0,false,,,
143,FB,0.0,false,,,
10,FIDA,0.85,true,0.0001,1.0,1.0
144,FIL,0.0,true,0.005,0.1,0.1
145,FLM,0.0,true,0.0005,0.1,0.1
146,FLOW,0.0,true,0.005,0.01,0.01
147,FRONT,0.0,false,,,
57,FTM,0.85,true,0.00005,1.0,1.0
47,FTT,0.95,true,0.0005,0.1,0.1
148,GBP,0.0,false,,,
149,GBTC,0.0,false,,,
150,GDX,0.0,false,,,
151,GDXJ,0.0,false,,,
152,GLD,0.0,false,,,
153,GLXY,0.0,false,,,
154,GME,0.0,false,,,
155,GOOGL,0.0,false,,,
79,GRT,0.9,true,0.00005,1.0,1.0
296,GRTBEAR,0.0,false,,,
297,GRTBULL,0.0,false,,,
156,GT,0.0,false,,,
298,HALF,0.0,false,,,
299,HALFSHIT,0.0,false,,,
157,HBAR,0.0,true,0.00005,1.0,1.0
300,HEDGE,0.0,false,,,
301,HEDGESHIT,0.0,false,,,
158,HGET,0.0,false,,,
21,HNT,0.0,true,0.0001,0.1,0.1
2,HOLY,0.9,true,0.0001,1.0,1.0
159,HOOD,0.0,false,,,
160,HOT,0.0,true,0.000001,100.0,100.0
13,HT,0.9,true,0.0005,0.01,0.01
302,HTBEAR,0.0,false,,,
303,HTBULL,0.0,false,,,
